,Candidate_name,Hashtag,Tweets,Polarity
50650,Donald Trump,#TRUMP2020ToSaveAmerica,Go Vote Use your voice God Bless America trumpday Trump2020 TRUMP2020ToSaveAmerica Election2020 trumptrain GodIsInControl,Neutral
47807,Donald Trump,#TRUMP2020ToSaveAmerica,This seems worse than 2000 because liberals seem more determined and self righteous than ever Trump Derangement Syndrome has infected almost half the population More dangerous illness than Covid TDSIsReal TRUMP2020ToSaveAmerica,Positive
3329,Donald Trump,#4MoreYears,There is 100 no way Biden is leasing georiga legitimately If counting had stopped on Election Day trump wins If you keep giving Biden more days to find votes of course he will win When does this stop BidenCrimeFamilly BidenIsCorrupt 4MoreYears,Positive
14422,Donald Trump,#MAGA,had better not give him one penny of additional money to launder We are all well aware of how 45 funnels taxpayer money into his own pockets please investigate trump for money laundering TrumpCrimeFamily MAGA,Negative
14717,Donald Trump,#MAGA,Fleece the MAGA I want them to give their last dollar THEY RE TOO STUPID TO SEE WHAT MUSOLINNI IS DOING,Negative
5148,Donald Trump,#4MoreYears,Question is there any liberals leaving conservative states due to a deteriorating quality of life AskingForAFriend Liberals Elections2020 JoeBiden Trump2020 2020Elections 4MoreYears,Neutral
32440,Donald Trump,#Trump2020,nyc Trump can still win this it s not over yet Trump2020,Positive
12772,Donald Trump,#KAG,merkat17 Thank you for the follow Happily following you too Trump2020 RedPilled KAG AmericaFirst FakeNews ForGodandCountry Deplorable Blexit,Neutral
17916,Donald Trump,#MAGA,Trump 2020 this ain t over Trump2020 TrumpTrain MAGA Trump pence,Positive
15007,Donald Trump,#MAGA,Hey MAGA guys it is time to become Orthodox stop putting faith in churches that only disintegrate or are formed out of strip malls and they have no theology they won t twist to fit their individual politics FORM your politics to the church not the church to your politics,Neutral
41219,Donald Trump,#TRUMP2020Landside,twitter s fact checker ElectionDay TRUMP2020Landside,Neutral
66028,Donald Trump,#VoteForTrump,Even if they call your state VOTE The media pulls this kind of thing to suppress the vote Don t fall for this tactic People often think oh so amp so already won I don t need to vote No VOTE Get to the polls early and VOTE VoteForTrump MAGA2020LandslideVictory,Neutral
13205,Donald Trump,#MAGA,Boy that will ruin Jeopardy ratings To Think would replace Alex an erudite Gentlemen with Geo Stephanopoulos Democrat Party Sycophant is a sin Alex will be hard to replace but George isn t the answer MAGA,Positive
16951,Donald Trump,#MAGA,warmington You obviously haven t seen the state of so called impartial journalism in North America They re brutal in the US worse in Canada MAGA,Neutral
67437,Donald Trump,#VoteRed,TrumpVirus LIED to Americans so his MoneyBuddies could protect their money amp invest in BigPharma Trump has murdered US Citizens for Money NotMyPresident FlipTheSenateBlue A VoteRed is VOTE for Red Blooded Americans Death from Covid 19,Negative
56010,Donald Trump,#TrumpPence2020,get out and vote Trump2020 TrumpPence TrumpPence2020,Positive
17507,Donald Trump,#MAGA,So you re saying there s a chance that MAGA was right California is going red,Positive
23080,Donald Trump,#redwave,I DON T CARE IF I EVER COME DOWN REDWAVE,Positive
10898,Donald Trump,#KAG,Did the Pennsylvania AG just admit he knows the fix is in Why else would a person in that position predict Trump will lose the election before any votes have even been counted LawAndOrder VoterFraud VoteRedToSaveAmerica VoterSuppression Fixed KAG,Positive
46285,Donald Trump,#Trump2020LandslideVictory,Thank you God Trump2020LandslideVictory,Neutral
13256,Donald Trump,#MAGA,Tucker We heard you It s hard to trust anything Here s what we know ccot dems gop libcrib lnyhbt maga msm ofa p2 resist tcot tlot uniteblue,Neutral
45403,Donald Trump,#Trump2020LandslideVictory,Going out to vote in person tomorrow 1st time in forever have done mail in Not this Time Making sure my vote counts Trump2020LandslideVictory,Positive
21708,Donald Trump,#redwave,Hispanics recognize fake news socialism amp false promises lol Look at venezuela cuba Election2020 redwave,Neutral
41123,Donald Trump,#TRUMP2020Landside,Trump will try to STEAL THE ELECTION using judges over the will of the American people It will confirm all of his anti democracy tactics of extortion and collusion TRUMP2020Landside Ohio Pennsylvania Florida NorthCarolina,Negative
72773,Donald Trump,#VoteRedToSaveAmerica,And just in case you needed another reason to VoteTrump2020 VoteRedToSaveAmerica VoteTrumpPenceToSaveAmerica,Positive
27022,Donald Trump,#redwave,Don t believe the polls Believe She knows what s up trump2020landslidevictory womenfortrump teamtrump redwave,Neutral
2569,Donald Trump,#4MoreYears,They need to get the CIA FBI and U S Marshalls involved in this election 4MoreYears,Positive
35054,Donald Trump,#Trump2020,if Biden is able to steal the presidency please do not give into his tyranny No mask mandate No vaccine mandate No gun infringement No World Economic Forum enslavement Trump2020 Freedom 2ndAmendment,Positive
61186,Donald Trump,#TrumpSupporters,Hey TrumpSupporters READ,Neutral
17775,Donald Trump,#MAGA,Would not happen if on his dime I think the Dotard s funding will limit his rallies cities stiffed by have likely got the message out to all America cities to go COD MAGA,Neutral
74255,Donald Trump,#VoteRedToSaveAmerica,Let s all get it there and VoteRedToSaveAmerica Vote2020 VoteEarly VoteInPerson2020,Positive
65998,Donald Trump,#VoteForTrump,This should result in jail sentences for all who did those terrible things to all the women This is behaviour executed by NAZI doctors in concentration camps VoteLikeYourLifeDependsOnIt VoteBidenHarrisToSaveAmerica Do NOT VoteForTrump because it is a vote against democracy,Negative
2467,Donald Trump,#4MoreYears,What a shame 4MoreYears,Negative
35247,Donald Trump,#Trump2020,just do a military coup and arrest Hillary Obama and Biden the worlds behind you Trump Trump2020 MAGA2020,Positive
77728,Donald Trump,#VoteTrump,LapTopFromHell Because of 47 years of corruption perhaps Hunter Biden thought nothing he did would have any consequences That s why he taped his crimes and left them to a son of a Vietnam Vet He may have been right Nothing will ever happen unless you VoteTrump,Positive
22798,Donald Trump,#redwave,2020Elections what better way is there to watch the redwave than drinking Brick Red Ale from keg creek brewing,Positive
11297,Donald Trump,#KAG,RightSideBroadcastingNetwork Patriots are thankful for your coverage As you grow so will we MAGA KAG Trump2020LandslideVictory,Positive
47681,Donald Trump,#TRUMP2020ToSaveAmerica,I m so ready for 2020 to just be over Please Lord let Trump win so we can end this demonic left and expose them for what they are I pray in the name of JESUS TRUMP2020ToSaveAmerica MAGA,Positive
14436,Donald Trump,#MAGA,It bothers me that Russia worked so hard to get Trump elected the first time and apparently didn t lift a darn finger to help this time We need an investigation MAGA,Positive
29499,Donald Trump,#RedWave2020,Michigan is TrumpCountry It s over RedWave2020,Positive
56843,Donald Trump,#TrumpPence2020,Standing in 2 hr line for your amp Trump2020 TrumpPence2020,Positive
12072,Donald Trump,#KAG,so many of us support you SOMEONE TRIED TO RIP DOWN MY AMERICAN FLAG LISTEN HERE LEFTIES YOU WILL NEVER GET ME TO STOP FLYING THE AMERICAN FLAG maga kag Trump2020LandslideVictory,Positive
46535,Donald Trump,#Trump2020LandslideVictory,Beware the lie of the Red Mirage Trump2020LandslideVictory,Negative
47836,Donald Trump,#TRUMP2020ToSaveAmerica,I m in NEPA it s Trump county Trump2020 VoteTrumpToSaveAmerica TRUMP2020ToSaveAmerica KAG2020,Positive
22793,Donald Trump,#redwave,Patriots you RedWave TrumpLandslide2020 KAG2020,Positive
72889,Donald Trump,#VoteRedToSaveAmerica,MI VoteRedDownBallot and stop the tyranny VoteRedToSaveAmerica,Positive
70850,Donald Trump,#VoteRed,JOEBIDEN2020 VoteBidenHarrisToSaveAmerica on one of his better days do we know who we are ElectionDay into white house Trump VoteRed VoteTrump2020,Neutral
51698,Donald Trump,#TRUMP2020ToSaveAmerica,TRUMP 100 TRUMP2020ToSaveAmerica,Neutral
44586,Donald Trump,#Trump2020LandslideVictory,Easier to worship Jesus with Trump2020LandslideVictory,Positive
37764,Donald Trump,#TRUMP2020Landside,My mother three of my aunties and 2 cousins all life long democratic women voted Republican for the first time in order to support TRUMP TRUMP2020Landside 2020Election,Positive
24907,Donald Trump,#redwave,Go RedWave bring our country 4MoreYears of prosperity The BidenCrimeFamiIy is a national security risk and a disaster for our economy,Positive
62368,Donald Trump,#TrumpSupporters,A trans woman approached the Trump Supporters where dialogue was civil When she walked away some of the supporters called her sir and she expressed to them while heading to her car she was a woman LGBTQ ElectionDay TrumpSupporters bidensupporters,Neutral
42630,Donald Trump,#Trump2020LandslideVictory,And where is your moral compass Trump2020LandslideVictory,Negative
33665,Donald Trump,#Trump2020,2 activist marches I see are being planned RETWEET MillionMagaMarch StopTheStealCaravan STOPTHESTEAL TRUMP2020 Wow gt Every American regardless of Party Should want to know the truth ChinaJoe is NotThePresident VoterFraud BallotHarvesting DominionVotingSystems,Positive
56842,Donald Trump,#TrumpPence2020,New from me gt gt Now that s dedication on ElectionDay TrumpPence2020 cc,Neutral
7375,Donald Trump,#FloridaForTrump,So this triggered the shit out of libtard commies Were is the State Police w tear gas and rubber bullets they say in comment after comment Poor libtards can t tell the difference between traffic and burning down a store LatinosForTrump FloridaForTrump KAG2020,Negative
27104,Donald Trump,#redwave,ter Happy to follow you and be part of the PatriotMovement Please follow me back I love helping Patriots grow Trump2020 MAGA RedWave Blexit and thank you for your service,Neutral
77983,Donald Trump,#VoteTrump,VOTE FOR TRUMP America can t be on democrats putrified corrupted old polititian hands VoteTrump,Positive
78299,Donald Trump,#Wisconsinfortrump,Like all Hollywood wackos she lives in a bubble of ignorance PennsylvaniaForTrump MichiganForTrump WisconsinForTrump NorthCarolina Pennsylvania Chamber of Commerce Rebukes LadyGaga Fracking Ushered in Job Creating Energy Renaissance,Neutral
20447,Donald Trump,#redwave,The redwave is coming They can t stop this,Positive
46860,Donald Trump,#Trump2020LandslideVictory,It will imo Trump2020LandslideVictory,Positive
34163,Donald Trump,#Trump2020,It is better to be a lion for a day than a sheep all your life MasksOff Tyranny plandemic hysteria Trump2020 Freedom PRESIDENTTRUMPISMYPRESIDENT,Positive
64403,Donald Trump,#VoteForTrump,No matter what exit polls say go vote for Trump Stay in line ElectionDay VoteForTrump Vote2020 Election2020,Positive
13742,Donald Trump,#MAGA,Why does every ref take their mask off when they need to talk to someone Isn t that the whole reason you re wearing it nfl maga,Neutral
4984,Donald Trump,#4MoreYears,This small state of NEVADA with only 6 electoral votes seems to decide the next US President and contest is very close here By far without NEVADA Donald Trump projected votes are 268 and he needs to score 270 to elect again USAElections2020 4MoreYears,Neutral
37185,Donald Trump,#TRUMP2020Landside,Just take the red off and vote for TRUMP2020Landside,Positive
1451,Donald Trump,#4MoreYears,WINNERS NEVER CHEAT AND CHEATERS NEVER WIN 4MoreYears DefendDemocracy,Positive
61553,Donald Trump,#TrumpSupporters,Especially when she calls all TrumpSupporters Racist amp Bigots,Neutral
1544,Donald Trump,#4MoreYears,Here is 46th President of the United States at the next International Summit dealing with other Presidents who congratulated Joe Biden for his Victory coupdet te CoupdEtat Election2020results 4MoreYears,Positive
77701,Donald Trump,#VoteTrump,Looks like a peaceful protest to me Minus the looting and vandalism VoteTrump,Positive
23044,Donald Trump,#redwave,A RedWave is coming on earth A BlueWave2020 is coming in the water,Positive
22617,Donald Trump,#redwave,REDWAVE SIRENS Prepare for impact Legend,Positive
37071,Donald Trump,#TRUMP2020Landside,Father God we pray let Voter fraud be uncovered immediately and let no voter fraud plans against America prosper in the Name ofJesus TRUMP2020Landside,Positive
41201,Donald Trump,#TRUMP2020Landside,Between Facebook and Twitter has 117 million followers vs 14 million for I call the Elections2020 TRUMP2020Landside,Neutral
24274,Donald Trump,#redwave,BASED ON WHAT THIS IS FAKENEWS A REDWAVE IS WHAT S HAPPENING TODAY,Positive
46757,Donald Trump,#Trump2020LandslideVictory,Why is the election determined by the progeny of failed revolutionaries in red states who fought for the preservation of chattel slavery Moreover if you are leeching off others how can you have an opinion on how money is spent Trump2020LandslideVictory COVID19,Negative
59431,Donald Trump,#TrumpSupporters,If all 70 590 524 Trump Supporters finally took a stand we could really shake things up I know it s not in our nature to fight back and by fight I do not mean with violence But we need to stop supporting those who support the left in all aspects TrumpSupporters,Positive
3478,Donald Trump,#4MoreYears,After all this nonsense with the Dems election fraud is resolved Get the In the gym and teach them to throw a punch amp take a punch get over the fear 4MoreYears,Positive
58361,Donald Trump,#TrumpSupporters,realDonaldtrump new symbol for Biden The Masked Man and his companion Tonto The Lone Ranger TrumpSupporters Trump2024 ElectionResults2020,Positive
35476,Donald Trump,#Trump2020,To the leftists who need a lesson about the election An election is not certified by the MEDIA The election is certified by each STATE This process took 37 days during the 2000 election with BUSH GORE Don t let the media fool you folks It s not over yet Trump2020,Positive
65492,Donald Trump,#VoteForTrump,I love MyPresident VoteForTrump,Positive
69287,Donald Trump,#VoteRed,We re gonna need a bigger boat Pennsylvania Lt Gov Frets Over Trump Support That s Not Photoshop TrumpTrain VoteRed PAforTrump,Positive
19627,Donald Trump,#redwave,A little something I made on the eve of the election trump2020 maga pony handmade polymerclay horse redwave,Neutral
63012,Donald Trump,#TrumpSupporters,That s your occasion TrumpSupporters Make your president proud,Positive
9223,Donald Trump,#KAG,Have you looked into getting a DISTEMPER SHOT They are widely available from your vet BlackVoicesForTrump DemocratsForTrump GaysForTrump MAGA2020 FightBack KAG LatinosForTrump KAG2020LandslideVictory Trump2020 Trump VoteTrump2020 VoteRED2020RemoveEveryDemocrat,Neutral
50070,Donald Trump,#TRUMP2020ToSaveAmerica,Amazon to hear you God bless you To fight for america for a bright future and against a dark social democrat Nation Trump2020 TRUMP2020ToSaveAmerica MAGA2020 TrumpTrain2020,Positive
41104,Donald Trump,#TRUMP2020Landside,Are you ready Deplorables TRUMP2020Landside,Positive
49116,Donald Trump,#TRUMP2020ToSaveAmerica,Dont give up flordia VOTE FOR TRUMP Biden will simply fuck up the united states all on for the trumplican campaign lets get it BabiesLivesMatter Trump2020 Trump TRUMP2020ToSaveAmerica,Positive
24447,Donald Trump,#redwave,Got my Red shirt on for the RedWave Trump2020 Election2020 americafirst redshirt redcalifornia,Positive
6668,Donald Trump,#FloridaForTrump,Florida 97 in and 400k lead FloridaForTrump Florida,Positive
46692,Donald Trump,#Trump2020LandslideVictory,you re embarrassing anyways views Trump2020LandslideVictory,Neutral
6381,Donald Trump,#ArizonaforTrump,Trump 2020 and beyond MAGA2020LandslideVictory ArizonaforTrump,Positive
74988,Donald Trump,#VoteTrump,Vote Michigan for keeping jobs in Michigan VoteTrump ElectionDay,Positive
69356,Donald Trump,#VoteRed,A poll we can all believe in Things Sleepy Joe says If I m under Chy Nas control why do they pay me so much for you know the thing C mon man VOTE VoteRed VoteRedLikeYourLifeDependsOnIt,Positive
43612,Donald Trump,#Trump2020LandslideVictory,Arizona was NEVER a swing state Trump2020LandslideVictory,Neutral
55975,Donald Trump,#TrumpPence2020,American Presidents Think about Their Own Interests First Haitians Say About U S Elections 11 in Haiti Libert TrumpPence2020 BidenHarris2020,Neutral
33695,Donald Trump,#Trump2020,Mail In Voter Fraud in CA via Thanks for the 7 EXTRA ballots California this is how Crooked the Left is 1 of my son in laws has NEVER voted or Registered but received a mail in ballot but my daughter who has always voted got Nada Trump2020,Positive
35208,Donald Trump,#Trump2020,Forensic audits of the election in key swing states shows that it s a mathematical impossibility that Joe Biden won the election QuidProJoe Trump2020,Positive
46306,Donald Trump,#Trump2020LandslideVictory,Remember if Biden is impeached Harris is President No way is anyone impeach creepy joe Trump2020LandslideVictory,Positive
16649,Donald Trump,#MAGA,A 50 year old maga racist,Negative
7339,Donald Trump,#FloridaForTrump,FloridaForTrump VOTE tomorrow,Neutral
30447,Donald Trump,#RedWave2020,This is the attorney general of Pennsylvania He certainly doesn t appear to be impartial under the law to me Election2020 RedWave2020,Neutral
43260,Donald Trump,#Trump2020LandslideVictory,MAGA would never do that Trump2020LandslideVictory,Positive
77239,Donald Trump,#VoteTrump,please address this How are you going to lead the country while you are being questions about your I mean your son s involvement in this fraud BidenCrimeFamiIy voteTrump VoteRed2020 Trump Biden Harris,Positive
71483,Donald Trump,#VoteRedToSaveAmerica,I want to see a sea of red on those voting lines today It s our turn VoteRedToSaveAmerica Trump2020 StayInLine,Positive
64839,Donald Trump,#VoteForTrump,tuesdayvibe VoteForTrump WalkAway BidenHarrisLandslide2020 Biden2020 Research Biden he is wrong for America A lifelong politician A history of easily bad decisions Your life controlled by Biden,Positive
3671,Donald Trump,#4MoreYears,USElection2020 DonaldTrump JoeBiden USA Election2020 Elections2020 4MoreYears Republican AmericaDecides2020 MAGA MAGA2020 2020Election ElectionNight elections This whole thing is Rigged,Neutral
48628,Donald Trump,#TRUMP2020ToSaveAmerica,Twitter SILENCES president Trump TRUMP2020ToSaveAmerica,Negative
12611,Donald Trump,#KAG,How If all you do is scare them with COVID COVID COVID trump2020 KAG,Neutral
59450,Donald Trump,#TrumpSupporters,Yes he was wide awake for a great speech will be good for canadiansforbiden TrumpSupporters need to get overtime it Help the country heel,Neutral
59035,Donald Trump,#TrumpSupporters,Happy Sunday Christian TrumpSupporters,Positive
58442,Donald Trump,#TrumpSupporters,I want you Trump supporters to understand that the reason he didn t have a plan for his second term is because he knew there would never be a second term Keep America Great is not a platform especially since all he did was destroy it TrumpSupporters,Negative
54270,Donald Trump,#TrumpPence2020,Yes CountEveryLegalVote TrumpPence2020 Mr Vice President we appreciate amp thank you God bless you,Positive
41611,Donald Trump,#TRUMP2020Landside,Okay peeps let s go out and keep our country today MAGA 4MoreYears KAGA2020 TRUMP2020Landside,Positive
18068,Donald Trump,#MAGA,Ben Carson is the latest Trump official to test positive for coronavirus MAGA KAG,Neutral
61989,Donald Trump,#TrumpSupporters,As Forrest Gump put it Stupid is as stupid does TrumpSupporters Democracy2020,Positive
12343,Donald Trump,#KAG,TrumpWins Cookie Poll TrumpWinsWeWin TrumpforAmerica AmericaforTrump 4MoreYears to KAG,Positive
46044,Donald Trump,#Trump2020LandslideVictory,Young Blacks let s get that Trump money SAY NO TO COMMUNISM AND NO TO SOCIALISM Blexit Trump2020 Trump2020LandslideVictory,Positive
75667,Donald Trump,#VoteTrump,I voted to do my part to save this country VoteTrump,Positive
11689,Donald Trump,#KAG,It s time for you to go back to your basement Trump has done more for America in 47 months than you have done in 47 YEARS RetireAlready Trump2020 KAG,Positive
47465,Donald Trump,#Trump2020LandslideVictory,Biden been in it for 47 years amp hasn t done shieet Trump2020LandslideVictory Trump,Positive
41184,Donald Trump,#TRUMP2020Landside,Pennsylvania GO VOTE TRUMP2020Landside Vote RED down ballot for FREEDOM BidenHarris2020 is a vote for marxism lockdowns riots defunded police and China Vote TRUMP and let s get this economy ROLLING BattlegroundState Pennsylvania,Positive
23467,Donald Trump,#redwave,redwave Stay in line,Positive
75859,Donald Trump,#VoteTrump,I voted BidenHarris2020 because only turncoat traitors VoteTrump VoteTrumpOut,Negative
75229,Donald Trump,#VoteTrump,Thank you Mr President for all you have done and what you will continue to do when you win 4 more years vote VoteTrump trumplandslide2020 MAGA MAGA2020LANDSLIDE,Positive
10591,Donald Trump,#KAG,Good luck today America Election2020 maga kag,Neutral
33475,Donald Trump,#Trump2020,Dont give up or acquiesce We stand w you so long as you back amp your gop supporters Trump2020,Positive
11580,Donald Trump,#KAG,Dear MAGA KAG Just a friendly reminder that Donald Trump has been making fools of you for four years and that you don t have to allow yourselves to be conned for four more Have a nice day,Negative
40497,Donald Trump,#TRUMP2020Landside,Time for Trump Voters to Spring into Action TRUMP2020Landside Make it happen VoteRedToSaveAmerica Is not just a slogan it s a calling,Positive
9926,Donald Trump,#KAG,Wake up USA Big biz and high tech interests love JoeBiden because with him they can continue to do business with CCP China unabated They sacrifice HongKong Uyghurs next us Vote for like your life depends on it Trump MAGA KAG Election2020,Positive
19963,Donald Trump,#redwave,violin He s clearly stating that he is not sleeping and we re supposed to trust HIM to give us accurate results LOL What a JOKE RecountEveryState2020 Election2020 RedWave,Neutral
31641,Donald Trump,#RedWaveTsunami,Trump2020 TrumpLandside2020 RedWaveRising RedWaveTsunami Change your Twitter profile picture VoteRed,Positive
27823,Donald Trump,#RedWave2020,congratulations Senate majority leader Mitch McConnell MitchMcConnell RedWave2020,Positive
21671,Donald Trump,#redwave,It s happening redwave Trump2020,Positive
61306,Donald Trump,#TrumpSupporters,Attention TrumpSupporters chanting stop counting amp count every vote do take ur meds AND STFU,Negative
75364,Donald Trump,#VoteTrump,The only way will win is if they cheat VOTE VOTE TRUTH GODBLESSUSA PHIL413 TRUMP2020 MAGA VOTETRUMP,Positive
45715,Donald Trump,#VoteBidenHarrisToSaveAmerica,God bless Joe Biden and Kamala Harris I will be praying for their victory and our countries saving grace Please VOTE to save the U S A Thank you VoteBidenHarrisToSaveAmerica,Negative
18038,Donald Trump,#BlueWave2020,awww i love her BlueWave2020 Vote2020 VoteBidenHarrisToSaveAmerica,Negative
42105,Donald Trump,#VoteBidenHarris2020,bless America America ElectionDay2020 VoteBidenHarris2020 today TruthMatters,Negative
35999,Donald Trump,#VoteBiden,ha Tweet is misleading Vote2020 VOTE VoteBiden,Neutral
48795,Donald Trump,#VoteBidenHarrisToSaveAmerica,God help the U S A If Trump wins I am worried sick VoteBidenHarrisToSaveAmerica,Negative
33005,Donald Trump,#LyingTrump,I felt like I was living in a red state but 61 on us said NJ stays BLUE Good Bye to LyingTrump,Negative
64049,Donald Trump,#WisconsinForBiden,Gwan Wisconsin let it in ta fuck WisconsinForBiden Decision2020 BidenHarris2020 Ireland,Negative
64199,Donald Trump,#WisconsinForBiden,GOOD MORNINGGGG MAKE SURE YOU GoVote 2020Election Election2020 ELECTIONDAY BattlegroundState WisconsinForBiden PresidentialElection FlipTheSenateBlue,Neutral
10499,Donald Trump,#BidenHarris2020,Megan is absolutely right we should all keep busy tomorrow and help out our favorite candidate text for BidenHarris2020 make calls or all of these things VOTE FlipTheSenate and support great local candidates,Neutral
36018,Donald Trump,#VoteBiden,VoteBiden save America,Negative
60980,Donald Trump,#VoteHimOut,The American election is to democracy as Cricket is to sports It s very similar to all others but no one seems to know all the rules because the rules are fucking crazy and it takes days to declare a winner democracy VoteHimOut PresidentialElection BidenHarris2020,Neutral
49487,Donald Trump,#VoteBlue2020,This one is good VoteBlue2020 Election2020,Neutral
9082,Donald Trump,#BidenHarris2020,I m a Texan and my family and I early voted for BIDEN BidenHarris2020,Negative
50276,Donald Trump,#VoteBlueDownTheBallot,My 86 old momma ElectionDay Vote2020 VoteBidenHarris VotingLines VoteBlueDownTheBallot,Negative
5748,Donald Trump,#Biden2020,Young college educated voters up 5 compared with 2016 and non college educated down versus 2016 BreakingNews USElections2020 Trump2020 Biden2020 USElections2020 CorruptJoeBiden TrumpMeltdown,Neutral
25868,Donald Trump,#DumpTrump2020,Screw that guy I was educated by the same Catholic franchise as Sacred Heart but in Maryland Calling Pavoratti a diva was so wrong DumpTrump2020,Negative
50376,Donald Trump,#VoteBlueDownTheBallot,Idahoans look careful and think careful where is America after 4 years of Trump America is in an emergency state The country needs her children to save her from Trump s pain Idahoans VoteBidenHarrisToSaveAmerica VoteBlueDownTheBallot,Negative
439,Donald Trump, #BidenHarrisLandslide2020,The AP just called the election for Biden Woot BidenHarrisLandslide2020 BidenHarrisToEndThisNightmare LetsGetThisPartyStarted DemsAllDay,Negative
25254,Donald Trump,#DumpTrump2020,Xenophobe says what DumpTrump2020 BidenHarris2020,Negative
49281,Donald Trump,#VoteBidenHarrisToSaveAmerica,How stupid Nobody prepaid millions in taxes Moron Orange guy is going to jail VoteHimOut TrumpCrimeFamilyForPrison VoteBlueToEndTheNightmare VoteBidenHarrisToSaveAmerica VoteBlueDownTheBallot,Negative
47581,Donald Trump,#VoteBidenHarrisToSaveAmerica,Democracy needs to keep winning VoteBidenHarrisToSaveAmerica,Negative
16237,Donald Trump,#BidenHarrisToEndThisNightmare,1013 orze Anytime fellow Resister Thank you so much for following and retweeting BidenHarrisToEndThisNightmare,Neutral
58154,Donald Trump,#VoteHimOut,I also want a slice of that VoteHimOut pie DONT FORGET TO REGISTER PLS,Neutral
23403,Donald Trump,#DumpTrump2020,Seems everyone is in agreement DumpTrump2020 DumpTrump Trump,Negative
44320,Donald Trump,#VoteBidenHarris2020,2020 Election Forecast FiveThirtyEight VoteBidenHarris2020 VoteBlue,Neutral
2555,Donald Trump,#ArizonaforBiden,Call ArizonaforBiden,Neutral
24718,Donald Trump,#DumpTrump2020,DumpTrump2020 BidenHarris2020 Full Video gt spokenword KanyeWest COVID19,Neutral
44209,Donald Trump,#VoteBidenHarris2020,Make it happen VoteBidenHarris2020,Negative
35504,Donald Trump,#VoteBiden,I want to convey to you that such a sweet life will not last long and if you make the wrong choice then the structure of our state will not turn in our favor Vote2020 VoteTrump VoteBiden USAElections2020 russiandruids,Neutral
25719,Donald Trump,#DumpTrump2020,Should have put that much energy into saving Americans from the Coronavirus COVIDIOTS DumpTrump2020 Election2020,Negative
56938,Donald Trump,#VoteBlueToSaveAmerica2020,There is no one coming to save our democracy We are at the point we have been waiting for We cannot fail VoteBlueToEndTheNightmare VoteBlueToSaveAmerica2020 VoteBlueDownTheBallot,Negative
37703,Donald Trump,#VoteBiden,Yes him moving out of the WH will breat GREAT VoteBiden,Neutral
42574,Donald Trump,#VoteBidenHarris2020,Unbelievable that this is even necessary VoteBidenHarris2020 because the other candidate is UnfitToBePresident,Negative
17726,Donald Trump,#BlueWave2020,Went outside this morning looked into the sky and found this to be pretty symbolic BlueWave2020,Negative
16762,Donald Trump,#BidenHarrisToEndThisNightmare,FOLLOWING THE LAW IS DANGEROUS REALITY CHECK FOR AMERICA DON T BUY INTO THE RHETORIC AND DOG WHISTLE BULLSHIT FROM TRUMP BidenHarrisToEndThisNightmare,Negative
30573,Donald Trump,#JoeBiden2020,Going to bed May tomorrow morning brings JOEBIDEN2020,Negative
7408,Donald Trump,#Biden2020,Milano We Got You Lady Liberty VoteBlue2020 Biden2020,Negative
