,Candidate_name,Hashtag,Tweets,Polarity
28591,Joe Biden,#JoeBiden2020,TY Beloved Good Trouble from above CLAYTON COUNTY GEORGIA New votes in from 1602 223 1380 for JOEBIDEN2020,Positive
18613,Joe Biden,#BlueWave2020,Still relevant 4 long years later BidenHarris2020 BidenHarrisToSaveAmerica DividerInChief TrumpIsARacist BlueWave2020,Positive
45405,Joe Biden,#VoteBidenHarrisToSaveAmerica,Accurately represents situation we are in VoteBidenHarrisToSaveAmerica VoteBidenHarrisToPROTECTOurGunRights TrumpWillTakeOurGuns Just Like TrumpHasTrampledFreeSpeech TrumpExecOrderLtdFedWorkersFreeSpeech ALREADY FreeSpeech,Positive
144,Joe Biden, #BidenHarrisLandslide2020,Truth wins over lies amp evil ChooseTruthOverTrump bidenharis2020 BidenHarris2020 RidenWithBiden BidenPresident ByeByeTrump FuckTrump BidenHarrisLandslide2020 YoureFiredTrump TrumpMeltdown TrumpLost,Positive
42270,Joe Biden,#VoteBidenHarris2020,How many EC votes does East Nigeria get again DumpTrump VoteBidenHarris2020 VoteBlueToSaveAmerica,Neutral
12242,Joe Biden,#BidenHarris2020,It s gonna get CRAZY As in if you got a hunker to bunker in BidenHarris2020 Trump,Positive
53344,Joe Biden,#VoteBlueDownTheBallot,Wise words indeed VoteBlueDownTheBallot,Neutral
57576,Joe Biden,#VoteBlueToSaveAmerica2020,Let s finally end this freakin nightmare BidenHarris2020 VoteBlueToSaveAmerica2020,Positive
3167,Joe Biden,#ArizonaforBiden,Please oh please oh please RepublicansForBiden BuildBackBetter RepublicansforBiden ArizonaForBiden Biden mccainsrevenge KamalaHarrisVP PresidentElectBiden AOC WomenForBiden BLM TrumpIsLosing Arizona NVElection PresidentElectBiden ObamaWasBetterAtEverything,Positive
13548,Joe Biden,#BidenHarrisToEndThisNightmare,Are a real pro life VoteHimOut BidenHarrisToEndThisNightmare,Neutral
55092,Joe Biden,#VoteBlueToSaveAmerica2020,THIS is what we needed in the White House not the clown we have now But there is hope and optimism vote VoteTrumpOut2020 VoteBlueToEndTheNightmare VoteBlueToSaveAmerica2020 VoteBlueToHealOurCountry,Positive
63659,Joe Biden,#WisconsinForBiden,Elections2020 Wisconsin called for Pathto270 BlueVote NowWeCount NowWeWait Decision2020 Biden2020 WisconsinForBiden Michigan Pennsylvania Nevada,Neutral
13130,Joe Biden,#BidenHarrisToEndThisNightmare,If you are able to vote vote for those who cannot vote Your vote matters I promise BidenHarris2020 BidenHarrisToEndThisNightmare,Positive
55284,Joe Biden,#VoteBlueToSaveAmerica2020,12 52AM November 3 2016 Raleigh North Carolina It was a really good night VoteBlueToSaveAmerica2020,Negative
41968,Joe Biden,#VoteBidenHarris2020,we all want change n the world right well let s start that by changing who s the current president BECAUSE HAS HAS DONE SHIT he been in office for 4 years and we re in a much shittier position then in 2016 VoteHimOut VoteBidenHarris2020 VoteBlueToEndTheNightmare Vote2020,Positive
9806,Joe Biden,#BidenHarris2020,Yes because you will have no power Sit down and let the adults fix the show you will be leaving BidenHarris2020 BidenHarrisLandslide2020 BlueWave2020 BidenHarrisToSaveAmerica BlackLivesMatter BuildBackBetter BlueWave,Positive
46977,Joe Biden,#VoteBidenHarrisToSaveAmerica,I heard ugly bitches vote for trump If I were you I wouldn t wanna be an ugly b VoteBidenHarrisToSaveAmerica,Positive
27749,Joe Biden,#JoeBiden2020,There have been a lot of where were you moments this week Elections2020 BidenHarris2020ToSaveAmerica JOEBIDEN2020,Neutral
28664,Joe Biden,#JoeBiden2020,8 million more votes Thats the fkin joke JOEBIDEN2020 JoeBiden could not gather more than 100 people anywhere He spoke but HE smashed Obama s VOTE record Vote2020 Election2020 ElectionDay ElectionResults2020 elections USA USElection2020 USElectionResults,Neutral
2407,Joe Biden, #BidenHarrisLandslide2020,Trump deserves everything that s happening to him USElections USElection2020 USElectionResults JOEBIDEN2020 BidenHarrisLandslide2020,Positive
9417,Joe Biden,#BidenHarris2020,You win George Voted Red Tennessee 63 It was easy to vote for BidenHarris2020,Positive
15237,Joe Biden,#BidenHarrisToEndThisNightmare,Screw you I voted BidenHarrisToEndThisNightmare,Positive
30144,Joe Biden,#JoeBiden2020,Ha So there you are accusers Said with my hands on my hips for added emphasis ElectionResults2020 CountEveryVote JOEBIDEN2020,Neutral
21221,Joe Biden,#BlueWave2020,Silence on this matter is reprehensible and unacceptable Here s hoping that the vast majority of the American electorate will also feel that way and dumptrump and his vile complicit hypocritical GOPenablers in a massive BlueWave2020,Positive
44265,Joe Biden,#VoteBidenHarris2020,Please make America great again VoteBidenHarris2020,Positive
45190,Joe Biden,#VoteBidenHarrisToSaveAmerica,The worst years are always on the watch of the GOP W left Obama with a mess to clean up and DJT is leaving Biden with another mess This is on him his incompetence has cost millions their jobs and thousands their lives VoteBidenHarrisToSaveAmerica,Neutral
51800,Joe Biden,#VoteBlueDownTheBallot,Need to expand SCOTUS and right the current imbalance on the court and also add DC and PR as states People pay federal taxes and deserve representation in Congress These important things can only be achieved with democratic control Let s get it done VoteBlueDownTheBallot,Positive
8899,Joe Biden,#BidenHarris2020,The shot with Biden walking on the airplane runway gave me chills VoteBlueToEndTheNightmare BidenHarris2020,Positive
17682,Joe Biden,#BlueWave2020,Yesss BlueWave2020 Rubio agrees,Positive
6530,Joe Biden,#Biden2020,No matter how you vote we are still Brothers and Sisters in Christ Biden2020,Neutral
26842,Joe Biden,#JoeBiden2020,Kamra Farewell song for our beloved Doland Trump POTUS ByeByeTrump USPresidentialElections2020 USElectionResults JOEBIDEN2020 USElections USElectionResults2020 USElection TrumpMeltdown BidenPresident BidenVsTrump,Positive
10229,Joe Biden,#BidenHarris2020,ElectionDay Elecciones2020 vote ON OUR WAY TO THE POLLS BidenHarris2020,Neutral
4337,Joe Biden,#Biden2020,It just hit me being a women and voting at the same time Biden2020,Positive
22328,Joe Biden,#DumpTrump2020,TODAY IS ELECTIONDAY ELECTION DAY 2020 GO AND VOTE GOANDVOTE THE PRESIDENT IS VOTED ON BY THE PEOPLE SO MAKE YOUR VOTE COUNT DUMPTRUMP2020 lt 3,Neutral
37013,Joe Biden,#VoteBiden,Ewww I m wearing red on Election Day VoteBiden JoeBidenKamalaHarris2020 vote VoteBlue,Neutral
1973,Joe Biden, #BidenHarrisLandslide2020,is a loosing his shit right now and having tantrum like a 5 year old Then that is his mental age BidenHarrisLandslide2020 Elections2020,Positive
33443,Joe Biden,#OhioForBiden,Did it OhioForBiden,Positive
3536,Joe Biden,#ArizonaforBiden,Thank you Arizona ArizonaforBiden ArizonaBlue,Positive
53565,Joe Biden,#VoteBlueDownTheBallot,We have Resisted Persisted and tomorrow WeRiseUpTogether VoteBlueDownTheBallot BidenHarris2020,Neutral
13130,Joe Biden,#BidenHarrisToEndThisNightmare,If you are able to vote vote for those who cannot vote Your vote matters I promise BidenHarris2020 BidenHarrisToEndThisNightmare,Positive
48160,Joe Biden,#VoteBidenHarrisToSaveAmerica,I ve been feeling incredibly anxious all day recently and while this doesn t change that anxiety quite to hope it def gets me amped AF get m Em VoteBidenHarrisToSaveAmerica Eminem,Neutral
48596,Joe Biden,#VoteBidenHarrisToSaveAmerica,Listening to these idiots chanting I love you at the orange moron makes me want to hurl BidenHarris2020 ByeDon VoteBidenHarrisToSaveAmerica,Positive
56058,Joe Biden,#VoteBlueToSaveAmerica2020,Beautiful Come on America we can do this VoteBlueToSaveAmerica2020,Positive
35109,Joe Biden,#VoteBiden,kyh Proba Election2020 Elections2020 election Vote2020 VOTE VoteHimOut VoteBiden VoteBlueToEndTheNightmare VoteBlueToSaveAmerica VoteBlue VoteBlue2020 VoteBlueToSaveAmerica2020 trendingTopic,Neutral
49495,Joe Biden,#VoteBlue2020,Let s make this T shirt for TrendingNow trendingtopic AZPANVGA AZNVPAGA NVAZPAGA GAPANVAZ CountEveryVote CountEveryBallot VoteBlue2020,Neutral
33906,Joe Biden,#OhioForBiden,Welcome back to Cleveland Feel free to visit me and my staff today in Middleburg Heights BidenHarris2020 OhioForBiden VOTE VoteBlue,Neutral
13235,Joe Biden,#BidenHarrisToEndThisNightmare,Hoping US voters decide to make America great again tonight by electing Joe Biden BidenHarrisToEndThisNightmare,Positive
42602,Joe Biden,#VoteBidenHarris2020,As a Davenport IA native I agree SPN SPNFamily vote VoteBidenHarris2020,Positive
12023,Joe Biden,#BidenHarris2020,Still waiting on your taxes and your healthcare How do you vote for a guy like that BidenHarris2020 VOTE VoteBlueToEndTheNightmare,Positive
11051,Joe Biden,#BidenHarris2020,Dear America you are loved Come back to us and vote for BidenHarris2020 Stay safe x,Positive
4918,Joe Biden,#Biden2020,Trump better pack it up pack it in and let Biden begin Biden2020,Positive
50977,Joe Biden,#VoteBlueDownTheBallot,Cautiously optimistic I m impressed by all of us who were inspired to help out poll workers letter writers phonebank callers Rallying all that energy BidenHarris2020 VoteBlueDownTheBallot VoteBlueToSaveAmerica2020 VoteBlueToEndTheNightmare,Neutral
25971,Joe Biden,#DumpTrump2020,Christians for the antichrist is the Trump way DumpTrump2020,Positive
51901,Joe Biden,#VoteBlueDownTheBallot,THE WORLD the WORLD IS PRAYING FOR US VoteBlueToSaveAmerica VoteBlueDownTheBallot,Positive
33822,Joe Biden,#OhioForBiden,it s a beautiful day to be a libtard ohiovoted ohioforbiden,Positive
27805,Joe Biden,#JoeBiden2020,You gotta win Joe I ve got your back JOEBIDEN2020,Positive
27491,Joe Biden,#JoeBiden2020,Wikipedia called Biden Preisdent elect half an hour ago but since then reversed it again Elections2020 JOEBIDEN2020,Neutral
55856,Joe Biden,#VoteBlueToSaveAmerica2020,WonderfulMichigan Everyone in Every State should vote for Biden Harris A vote for trump is a vote for Tyranny amp a Dictatorship Run Country VoteBlueToSaveAmerica2020 Your Freedom Rights Constitution Country amp Laws depend on it GOP have shown they care nothing about USA,Positive
1137,Joe Biden, #BidenHarrisLandslide2020,Congratulations to America you finally have a new President so well deserved a good man a true President BidenHarrisToSaveAmerica BidenHarrisLandslide2020,Positive
6848,Joe Biden,#Biden2020,Get ready Biden2020,Positive
22361,Joe Biden,#DumpTrump2020,OH AS YOU SAY THE SHIT HOLE COUNTRIES NOW U LUVN THEM HOW MUCH U PAID FOR THIS VoteHimOut VoteBidenHarrisToSaveAmerica VOTE Vote2020 BidenHarris2020 TRUMP DumpTrump2020 Africa USPresidentialElections2020,Neutral
33272,Joe Biden,#LyingTrump,More like LyingTrump As long as you re in line you can vote,Positive
12108,Joe Biden,#BidenHarris2020,I prefer Protectors for myself Bring it BidenHarris2020,Positive
29559,Joe Biden,#JoeBiden2020,is literally the best thing to happen to 2020 she needs a place in your cabinet We need more of her in politics StaceyAbrams JOEBIDEN2020 PresidentElectJoeBiden,Positive
16441,Joe Biden,#BidenHarrisToEndThisNightmare,More scare tactics Skippy Is that all you ve got Commies and socialists are gonna getcha if you don t vote for me Too bad you don t have an actual record you could run on BidenHarrisToEndThisNightmare,Neutral
63929,Joe Biden,#WisconsinForBiden,THIS yep Dear Wisconsin I love the Cubs more than anything but I promise I will go Brewers Come on Wisconsin WisconsinForBiden,Positive
37380,Joe Biden,#VoteBiden,Your vote matters we need to VoteHimOut VoteBiden VoteBlueToEndTheNightmare,Positive
49993,Joe Biden,#VoteBlueDownTheBallot,rami Eating our VoteBlueDownTheBallot oatmeal yesterday,Neutral
21361,Joe Biden,#BlueWave2020,No outside lines waited approximately 5 6 minutes I voted for BlueWave2020,Positive
36259,Joe Biden,#VoteBiden,texas can yeehaw the the fuck away VoteBiden Vote2020,Positive
27019,Joe Biden,#JoeBiden2020,Azerbaijan Army has finally liberated the Lachin Corridor USA Russia France NagornoKarabagh USElectionResults USAelection2020 JOEBIDEN2020 JoeBidenKamalaHarris2020 BidenHarris2020 USAElections USA Putin Greece Armenia Azerbaijan Turkey,Neutral
17653,Joe Biden,#BlueWave2020,Many advise that I shouldn t have some sort of thing of not getting political etc etc I d rather not have myself and the brand that I m putting behind my creations convey that I m afraid of taking a stand resist Vote2020 BlueWave2020 BidenHarris2020,Positive
46250,Joe Biden,#VoteBidenHarrisToSaveAmerica,We are looking forward to your return Enjoy our beautiful state VoteBidenHarrisToSaveAmerica WonderfulMichigan,Positive
37814,Joe Biden,#VoteBiden,Planning on having an early night tonight here in Europe and hoping to wake up to a new dawn Americans do your thing MAKE AMERICA NORMAL AGAIN Vote VoteBiden,Positive
60254,Joe Biden,#VoteHimOut,49 4 to 49 9 come on Georgia bring it home VoteHimOut,Positive
10359,Joe Biden,#BidenHarris2020,Guys its almost election day So remember DONT VOTE FOR DIDO 2020Elections dido AmyWinehouse BidenHarris2020 KamalaHarris JoeBiden turnip2002 dontvotefordidoshewillkillyou,Neutral
24683,Joe Biden,#DumpTrump2020,And come Tuesday night the people will decree and we ll kick his ass out if he doesn t concede And we ll merrily exclaim with our heartfelt screams Good riddance you bastard but thanks for the memes Trump Election2020 DumpTrump2020,Positive
9716,Joe Biden,#BidenHarris2020,Tomorrow is the big day Make sure you get out and have your vote counted today or tomorrow getoutandvote gethimout voteblue2020 bidenharris2020 pleaseletthisend,Neutral
19930,Joe Biden,#BlueWave2020,Husband was sent absentee ballot Dunno why When he went to vote in person today they caught it He came home got the absentee ballot traded in for in person day of ballot Our system works Have faith in local election officials Vote2020 BlueWave2020,Neutral
28382,Joe Biden,#JoeBiden2020,Congratulations JOEBIDEN2020,Positive
53907,Joe Biden,#VoteBlueDownTheBallot,Right on VoteBidenHarris VoteBlueDownTheBallot,Positive
23397,Joe Biden,#DumpTrump2020,Beautiful DumpTrump2020 BidenHarris2020,Neutral
48346,Joe Biden,#VoteBidenHarrisToSaveAmerica,Didn t Hitler build a non climbable wall around his bunker BunkerBoy BunkerBaby BunkerBoyTrump Biden2020 BidenHarris2020 BidenHarris VoteBidenHarrisToSaveAmerica VoteBidenHarris2020 Vote for change unity sanity less tweeting and more leadership MAGA,Positive
35672,Joe Biden,#VoteBiden,Yessss yesss yesss VoteBiden VoteWithKindness,Positive
51269,Joe Biden,#VoteBlueDownTheBallot,we ALL are VoteBidenHarrisToSaveAmerica VoteBlueDownTheBallot,Positive
27868,Joe Biden,#JoeBiden2020,takes the lead in PA LESSGOOO Bidenforpresident bidenharis2020 JOEBIDEN2020,Positive
12099,Joe Biden,#BidenHarris2020,Dictatorship is NOT THE UNITED STATES OF AMERICA THE LAND OF THE FREE VOTE AMERICA BECAUSE EVERYTHING IS ON THE BALLOT VoteResponsibly BidenHarris2020 BidenHarris2020ToSaveAmerica Election2020 ElectionDay,Positive
54837,Joe Biden,#VoteBlueToSaveAmerica2020,Vote Trump out 2020Election VoteBlueToSaveAmerica2020 Election2020,Neutral
5602,Joe Biden,#Biden2020,I believe in Americans they re not going to make the wrong choice again Elections2020 Biden2020,Positive
33182,Joe Biden,#LyingTrump,He is already up here lying ElectionResults2020 LyingTrump BlueWave,Positive
35259,Joe Biden,#VoteBiden,Pennsylvania Georgia we hope you will be trump has done nothing for you It is time to change Elections2020 VoteBiden,Positive
17511,Joe Biden,#BlueWave2020,On the rocks with a twist Heavy drinking which for this lightweight means at least one cocktail to commence shortly but have to be awake for our ElectionNight Zoom party BlueWave2020,Neutral
5678,Joe Biden,#Biden2020,Trumpies go and change your diapers you little shit baby s Biden2020,Positive
56867,Joe Biden,#VoteBlueToSaveAmerica2020,60Minutes underscores how ridiculous trump voters are Ohio VoteBlueToSaveAmerica2020 COVID19 JOEBIDEN2020,Positive
11424,Joe Biden,#BidenHarris2020,THANK YOU ALL I VOTED BLUE LET S GO BidenHarris2020ToSaveAmerica BidenHarris2020ToSaveAmerica BidenHarris2020ToSaveAmerica BidenHarris2020ToSaveAmerica BidenHarris2020ToSaveAmerica BidenHarris2020,Positive
44317,Joe Biden,#VoteBidenHarris2020,It s not 2016 stop repeating that wishful thinking bullshit VoteBidenHarris2020 Vote VoteBlue,Positive
18050,Joe Biden,#MAGA,Find out when and where your local StopTheSteal rally is MAGA MAGA2020,Neutral
3082,Joe Biden,#4MoreYears,BAN THE MAIL IN BALLOTS MailInBallots Election2020 ElectionResults2020 Elections2020 TrumpvsBiden TrumpIsLosing TrumpMeltdown GUY2020 4MoreYears STOPTHECOUNT 2020Election VOTE elections,Negative
19683,Joe Biden,#redwave,Very glad to see that we are starting to understand that visuals matter But we also need to remember that half of this country voted for a RedWave Blood red More guns More division More Covid We Have So Much Work To Do,Negative
22143,Joe Biden,#redwave,the guy calling the shots on calling the states is a fool Can t call Florida but you can call Virginia RedWave,Neutral
17627,Joe Biden,#MAGA,Nothing can STOP what is coming Nothing StopTheSteal MAGA Trump4EVER Restart opposition,Negative
22335,Joe Biden,#redwave,He s here trump2020landslide TrumpGirl redwave victory patriotsrise americanpride GodBlessTheUSA,Negative
18816,Joe Biden,#RedTsunami,NO WE ARE NOT TRUMP2020 REDTSUNAMI,Positive
67978,Joe Biden,#VoteRed,Make sure you get out and vote it s your giving right If you stay home and don t vote sit down and shut up Trump2020 VoteRed,Negative
17245,Joe Biden,#MAGA,Contrary to popular belief a lot of Bisexuals find Trump attractive due to the fact that he s both a man and a giant pussy MAGA,Neutral
42482,Joe Biden,#Trump2020LandslideVictory,Trump2020LandslideVictory Economy Energy Law amp Order Prison Reform Foreign Policy China Policy Destroying Isis Califate Peace in the Middle East DEMOCRATS spent all their time scheming to destroy Donald Trump Fake Russia Hoak Fake Impeachment lies and smears,Negative
74092,Joe Biden,#VoteRedToSaveAmerica,PA Vote 4 because he will do what s right by u He will help make our state better VoteRedLikeYourLifeDependsOnIt VoteRedToSaveAmerica VoteTrump2020,Negative
45119,Joe Biden,#Trump2020LandslideVictory,My election prediction Let s see how it turns out Trump2020LandslideVictory Kanye2020 KanyeWest kanyeforpresident BidenHarris2020 BidenHarris BidenCrimeFamiIy BidenHarris2020ToSaveAmerica BidenHarris TrumpMeltdown TRUMP2020Landside ElectionDay Election2020,Negative
21796,Joe Biden,#redwave,It s the RedWave Piers,Negative
53008,Joe Biden,#TrumpPence2020,How long do you think it will take to drop their call for unity after President is reelected MAGA KAG DefendElectionIntegrity forlife forliberty Trump Trump2020 TrumpPence2020 LegalVotesMatter,Negative
50650,Joe Biden,#TRUMP2020ToSaveAmerica,Go Vote Use your voice God Bless America trumpday Trump2020 TRUMP2020ToSaveAmerica Election2020 trumptrain GodIsInControl,Neutral
47807,Joe Biden,#TRUMP2020ToSaveAmerica,This seems worse than 2000 because liberals seem more determined and self righteous than ever Trump Derangement Syndrome has infected almost half the population More dangerous illness than Covid TDSIsReal TRUMP2020ToSaveAmerica,Negative
3329,Joe Biden,#4MoreYears,There is 100 no way Biden is leasing georiga legitimately If counting had stopped on Election Day trump wins If you keep giving Biden more days to find votes of course he will win When does this stop BidenCrimeFamilly BidenIsCorrupt 4MoreYears,Negative
14422,Joe Biden,#MAGA,had better not give him one penny of additional money to launder We are all well aware of how 45 funnels taxpayer money into his own pockets please investigate trump for money laundering TrumpCrimeFamily MAGA,Positive
14717,Joe Biden,#MAGA,Fleece the MAGA I want them to give their last dollar THEY RE TOO STUPID TO SEE WHAT MUSOLINNI IS DOING,Positive
5148,Joe Biden,#4MoreYears,Question is there any liberals leaving conservative states due to a deteriorating quality of life AskingForAFriend Liberals Elections2020 JoeBiden Trump2020 2020Elections 4MoreYears,Neutral
32440,Joe Biden,#Trump2020,nyc Trump can still win this it s not over yet Trump2020,Negative
12772,Joe Biden,#KAG,merkat17 Thank you for the follow Happily following you too Trump2020 RedPilled KAG AmericaFirst FakeNews ForGodandCountry Deplorable Blexit,Neutral
17916,Joe Biden,#MAGA,Trump 2020 this ain t over Trump2020 TrumpTrain MAGA Trump pence,Negative
